Radiant_Temp,Humidity,Air_Velocity,Optimal_Air_Temp,Min_Abs_PMV
12.0,90,0.5,29.5,0.06026982119951934
12.0,90,0.6000000000000001,29.5,0.01216385986999154
12.0,90,0.7000000000000001,29.5,0.028507837513515332
12.0,90,0.8,29.5,0.06371188833564356
12.0,90,0.9,29.0,0.06699766259137224
12.0,90,1.0,29.0,0.046094879409578356
12.0,90,1.1,15.0,5.401732095346349
12.0,90,1.2000000000000002,18.5,11.401283805670893
12.0,90,1.3,,inf
12.0,90,1.4000000000000001,,inf
12.0,90,1.5,,inf
12.0,90,1.6,,inf
12.5,10,0.0,35.0,0.5317558677502534
12.5,10,0.1,35.0,0.5317524920069876
12.5,10,0.2,35.0,0.1965586620257959
12.5,10,0.30000000000000004,35.0,0.023754549543571327
12.5,10,0.4,34.0,0.03565204053009023
12.5,10,0.5,33.5,0.038216774717172775
12.5,10,0.6000000000000001,33.5,0.05099735623114086
12.5,10,0.7000000000000001,33.0,0.0007247574122013614
12.5,10,0.8,33.0,0.06084996218751144
12.5,10,0.9,32.5,0.019590282783346253
12.5,10,1.0,32.5,0.013075524864081499
12.5,10,1.1,15.0,5.812361271090739
12.5,10,1.2000000000000002,22.5,15.754509033141588
12.5,10,1.3,,inf
12.5,10,1.4000000000000001,,inf
12.5,10,1.5,,inf
12.5,10,1.6,,inf
12.5,15,0.0,35.0,0.4497821108207745
12.5,15,0.1,35.0,0.44977873507750876
12.5,15,0.2,35.0,0.11458490509631701
12.5,15,0.30000000000000004,34.5,0.0009923110037966718
12.5,15,0.4,34.0,0.0418981183358838
12.5,15,0.5,33.5,0.03720033604653705
12.5,15,0.6000000000000001,33.0,0.0018079948972250497
12.5,15,0.7000000000000001,32.5,0.056312655116267325
12.5,15,0.8,32.5,0.0011465619986327877
12.5,15,0.9,32.5,0.05171301171875531
12.5,15,1.0,32.0,0.05327944720662908
12.5,15,1.1,15.0,5.787498804431073
12.5,15,1.2000000000000002,22.5,15.794245755944988
12.5,15,1.3,,inf
12.5,15,1.4000000000000001,,inf
12.5,15,1.5,,inf
12.5,15,1.6,,inf
12.5,20,0.0,35.0,0.3678083538912956
12.5,20,0.1,35.0,0.36780497814802987
12.5,20,0.2,35.0,0.03261114816683814
12.5,20,0.30000000000000004,34.0,0.026083541915483427
12.5,20,0.4,33.5,0.0045237238991735935
12.5,20,0.5,33.0,0.008690939627942287
12.5,20,0.6000000000000001,32.5,0.051407916383384135
12.5,20,0.7000000000000001,32.5,0.014990639385834236
12.5,20,0.8,32.0,0.06266506789561961
12.5,20,0.9,32.0,0.015598116384624987
12.5,20,1.0,32.0,0.016041039546509504
12.5,20,1.1,15.0,5.762636337771408
12.5,20,1.2000000000000002,22.5,15.833982478748396
12.5,20,1.3,,inf
12.5,20,1.4000000000000001,,inf
12.5,20,1.5,,inf
12.5,20,1.6,,inf
12.5,25,0.0,35.0,0.28583459696181623
12.5,25,0.1,35.0,0.2858312212185505
12.5,25,0.2,34.5,0.04861496476165461
12.5,25,0.30000000000000004,34.0,0.05146661695049113
12.5,25,0.4,33.0,0.03691669555721331
12.5,25,0.5,32.5,0.0585551966641748
12.5,25,0.6000000000000001,32.5,0.019895378118717427
12.5,25,0.7000000000000001,32.0,0.04667443196974776
12.5,25,0.8,32.0,0.006655418857519501
12.5,25,0.9,32.0,0.05372237036851413
12.5,25,1.0,31.5,0.056356305042986554
12.5,25,1.1,15.0,5.737773871111742
12.5,25,1.2000000000000002,22.5,15.873719201551799
12.5,25,1.3,,inf
12.5,25,1.4000000000000001,,inf
12.5,25,1.5,,inf
